item_id,release_date,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,0.3482712155650057,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3482712155650057,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0.3482712155650057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0.3482712155650057,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0.3482712155650057,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,0.3482712155650057,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0.4134610366943782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,0.3482712155650057,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,0.3862704636326451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13,0.39927465074912616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,0.4146432355231492,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,0.3482712155650057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0.4158254343519202,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
18,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,0.41768317536856037,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
22,0.41768317536856037,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,0.41768317536856037,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,0.4188653741973314,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0.42122977185487337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.3482712155650057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.3482712155650057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.3482712155650057,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29,0.3482712155650057,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,-1.3789212732694311,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
32,0.2866279909219462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,0.3482712155650057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,0.3482712155650057,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,0.3482712155650057,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,0.3482712155650057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,0.3482712155650057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
39,0.3482712155650057,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0.3482712155650057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.3482712155650057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.2866279909219462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,0.2866279909219462,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,0.2866279909219462,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,0.2866279909219462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,0.2866279909219462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,-0.7619823701979342,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
51,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
52,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,0.2866279909219462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,0.3482712155650057,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55,0.2866279909219462,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
56,0.2866279909219462,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,0.22498476627888672,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,0.2866279909219462,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,0.2866279909219462,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.2866279909219462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,0.22498476627888672,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
66,0.3482712155650057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
67,0.2866279909219462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.2866279909219462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
69,0.2866279909219462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
70,0.2866279909219462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,0.2866279909219462,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,0.2866279909219462,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
73,0.2866279909219462,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
74,-1.5022077225555501,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,0.2866279909219462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
